시도,시군구,사고년도,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
시도,시군구,사고년도,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목
시도,시군구,사고년도,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목
서울,관악구,부상[명],120,48,31,32,139,679,356,263,12,-,6,31,-,126,46,25,15,149,684,297,362,6,-,3,42,-,108,40,26,19,146,652,331,469,5,1,6,16,-,96,33,13,20,167,644,267,540,13,-,5,31,-,73,42,14,23,145,604,231,360,4,-,3,36,-,62,29,25,24,165,399,203,322,-,-,2,21,-
서울,강남구,사고[건],217,50,112,43,327,798,729,"1,112",18,1,3,49,-,213,49,96,66,401,"1,087",562,"1,183",13,-,2,50,-,154,32,94,65,376,930,666,"1,368",8,1,9,49,-,128,45,70,58,358,"1,059",653,"1,391",11,1,8,38,-,152,40,70,61,448,985,670,"1,224",8,-,4,47,-,186,78,69,85,383,"1,132",671,"1,254",13,-,-,55,-
서울,강남구,사망[명],4,1,0,2,2,4,2,4,0,0,0,1,-,1,2,0,1,3,2,1,3,1,-,0,0,-,4,2,1,0,1,3,1,3,0,0,0,2,-,2,0,0,0,4,0,1,1,2,0,0,0,-,4,0,0,0,3,3,1,5,0,-,0,0,-,2,1,0,0,2,0,1,1,0,-,-,0,-
서울,강남구,부상[명],230,53,115,41,344,"1,228","1,240","1,630",31,1,3,51,-,225,52,99,66,418,"1,575",969,"1,702",17,-,2,57,-,166,32,95,67,393,"1,389","1,060","1,915",13,1,9,49,-,138,46,72,61,370,"1,494",982,"1,951",11,1,8,41,-,155,40,70,63,458,"1,436","1,038","1,722",12,-,8,50,-,194,79,71,100,404,"1,591","1,038","1,674",18,-,-,60,-
서울,강동구,사고[건],123,24,22,31,194,425,225,328,9,1,1,35,-,184,35,17,37,164,513,220,211,7,1,-,25,-,109,44,36,27,126,485,204,201,7,-,-,29,-,73,24,14,14,117,402,176,210,1,1,-,15,-,91,15,9,27,120,445,173,247,2,1,-,21,-,81,26,12,31,141,423,190,260,6,-,-,15,-
서울,강동구,사망[명],2,0,2,1,3,1,1,2,0,0,0,0,-,5,0,0,0,2,1,1,2,0,0,-,0,-,2,0,0,0,1,2,1,1,0,-,-,0,-,4,1,0,0,2,1,1,0,0,0,-,0,-,1,0,0,0,2,1,0,1,2,0,-,0,-,0,0,0,0,0,2,1,0,1,-,-,0,-
서울,강동구,부상[명],132,24,22,32,196,615,382,464,11,1,3,40,-,193,37,18,38,168,750,386,284,10,1,-,25,-,112,45,38,28,129,612,346,249,7,-,-,34,-,69,23,15,14,120,584,301,267,1,1,-,18,-,91,15,9,27,123,618,306,335,1,1,-,27,-,85,29,13,32,147,595,268,330,8,-,-,15,-
서울,송파구,사고[건],251,66,49,28,255,"1,278",507,321,20,-,10,75,-,198,65,25,35,269,"1,356",473,381,19,1,11,59,-,134,45,36,42,221,"1,254",391,419,13,-,14,26,-,133,50,37,52,197,"1,126",424,531,11,-,9,37,-,162,58,30,59,212,903,422,687,9,-,8,31,-,126,80,38,61,225,824,449,762,14,-,3,32,-
서울,송파구,사망[명],5,1,2,0,4,8,4,2,1,-,0,0,-,1,2,0,0,1,5,1,2,1,0,0,0,-,2,0,0,0,2,2,1,2,1,-,0,1,-,1,0,1,0,1,4,3,3,1,-,0,0,-,2,1,0,0,1,1,0,1,1,-,2,0,-,2,0,0,0,3,3,1,1,0,-,0,0,-
서울,송파구,부상[명],260,69,52,29,265,"1,843",891,407,28,-,10,78,-,211,67,26,38,279,"1,976",813,468,49,1,13,62,-,146,49,38,43,226,"1,781",629,544,13,-,15,25,-,142,50,37,56,211,"1,586",695,672,11,-,9,40,-,176,60,31,63,220,"1,343",716,938,9,-,6,32,-,137,81,48,65,232,"1,209",725,"1,051",16,-,4,35,-
서울,서초구,사고[건],183,61,27,40,213,949,544,412,13,2,2,32,-,154,44,21,32,210,941,420,531,24,2,7,32,-,104,47,19,40,183,798,404,611,5,1,7,31,-,99,39,14,45,178,759,365,570,10,1,3,35,-,120,62,27,29,193,808,424,559,9,-,1,32,-,100,52,32,43,139,807,435,503,8,-,3,46,-
서울,서초구,사망[명],6,0,0,0,3,4,3,1,1,0,0,0,-,2,1,0,1,5,2,1,2,0,0,0,0,-,1,1,0,1,2,0,2,2,0,0,0,0,-,1,0,0,0,4,2,0,1,0,0,0,0,-,2,1,0,0,1,1,0,2,0,-,0,1,-,1,1,0,0,1,1,1,2,0,-,0,0,-
서울,서초구,부상[명],185,63,28,41,222,"1,418","1,021",604,21,3,2,32,-,157,43,22,33,213,"1,456",730,800,33,3,7,33,-,114,47,19,40,192,"1,130",724,762,7,1,8,31,-,102,41,14,45,182,"1,075",614,806,11,1,3,38,-,125,65,28,30,199,"1,264",738,890,14,-,1,37,-,107,51,34,46,141,"1,209",880,787,11,-,5,48,-
서울,중구,사고[건],116,56,23,24,72,439,277,80,8,-,4,29,-,108,41,12,18,105,573,146,143,6,-,3,29,-,90,27,7,17,98,417,125,136,6,-,7,25,-,58,18,14,13,70,378,113,164,5,-,3,18,-,62,19,8,23,109,364,111,216,3,-,2,26,-,73,23,7,14,99,360,130,192,4,-,4,25,-
