"자치구별(1)","자치구별(2)",항목,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)","자치구별(2)",항목,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)","자치구별(2)",항목,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명
"합계","노원구",발생건수 (건),1569,1324,94,125,-,10,16,1703,1518,70,111,-,3,1,1462,1273,77,105,-,5,2,1413,1255,50,90,-,6,12,1384,1240,56,69,-,10,9,1366,1247,27,82,1,5,4
"합계","노원구",사망자 (명),14,14,-,-,-,-,-,8,7,1,-,-,-,-,5,5,-,-,-,-,-,8,6,2,-,-,-,-,6,6,-,-,-,-,-,9,7,-,2,-,-,-
"합계","노원구",부상자 (명),2227,1858,138,196,-,11,24,2302,2072,89,134,-,6,1,2016,1754,106,147,-,7,2,1940,1737,55,125,-,7,16,1913,1724,71,95,-,12,11,1869,1716,37,102,2,6,6
"합계","은평구",발생건수 (건),1134,1013,40,71,-,5,5,1119,1018,28,65,1,5,2,953,828,35,83,-,4,3,867,777,29,56,-,3,2,918,840,28,44,-,1,5,1039,918,21,93,-,5,2
"합계","은평구",사망자 (명),12,12,-,-,-,-,-,7,7,-,-,-,-,-,14,11,-,3,-,-,-,11,11,-,-,-,-,-,9,7,1,1,-,-,-,7,6,1,-,-,-,-
"합계","은평구",부상자 (명),1580,1419,56,91,-,7,7,1464,1333,42,79,1,7,2,1415,1231,46,127,-,7,4,1218,1091,34,85,-,3,5,1256,1156,29,60,-,1,10,1353,1205,27,114,-,5,2
"합계","서대문구",발생건수 (건),1033,911,70,50,-,1,1,1113,962,81,59,-,2,9,928,808,63,55,-,-,2,930,790,85,49,-,4,2,974,839,82,45,-,2,6,916,785,68,57,-,2,4
"합계","서대문구",사망자 (명),5,4,1,-,-,-,-,14,10,2,2,-,-,-,6,3,3,-,-,-,-,9,7,1,1,-,-,-,5,3,-,1,-,1,-,4,4,-,-,-,-,-
"합계","서대문구",부상자 (명),1403,1228,101,72,-,1,1,1609,1376,131,87,-,3,12,1256,1091,87,76,-,-,2,1206,1004,125,69,-,6,2,1303,1112,130,49,-,1,11,1220,1036,100,75,-,3,6
"합계","마포구",발생건수 (건),1671,1518,27,101,-,8,17,1494,1295,48,96,-,5,50,1272,1115,53,95,-,3,6,1102,969,42,83,-,5,3,1065,947,34,44,-,4,36,1250,1052,48,87,-,3,60
"합계","마포구",사망자 (명),11,9,1,1,-,-,-,7,7,-,-,-,-,-,13,11,1,1,-,-,-,14,13,1,-,-,-,-,10,9,-,1,-,-,-,14,11,1,1,-,1,-
"합계","마포구",부상자 (명),2429,2217,39,138,-,11,24,2123,1810,68,155,-,9,81,1754,1538,72,130,-,3,11,1573,1398,54,109,-,8,4,1483,1319,42,62,-,4,56,1715,1458,58,118,-,3,78
"합계","양천구",발생건수 (건),1428,1265,46,107,1,9,-,1506,1369,57,78,-,1,1,1344,1212,42,82,-,2,6,1305,1134,61,100,-,1,9,1165,1039,47,74,-,3,2,1221,1104,40,68,-,5,4
"합계","양천구",사망자 (명),11,8,-,1,1,1,-,11,11,-,-,-,-,-,7,7,-,-,-,-,-,14,12,1,1,-,-,-,8,8,-,-,-,-,-,5,3,1,1,-,-,-
"합계","양천구",부상자 (명),1939,1674,57,167,-,41,-,2085,1904,79,100,-,1,1,1829,1647,56,117,-,2,7,1692,1464,75,140,-,1,12,1529,1372,58,92,-,4,3,1624,1476,57,81,-,6,4
"합계","강서구",발생건수 (건),1502,1314,70,104,-,9,5,1829,1554,120,110,-,6,39,1575,1367,51,112,-,2,43,1501,1324,65,92,-,8,12,1606,1438,41,84,-,3,40,1518,1350,34,95,-,3,36
"합계","강서구",사망자 (명),11,8,2,1,-,-,-,20,17,2,-,-,-,1,17,16,1,-,-,-,-,13,11,1,1,-,-,-,15,12,3,-,-,-,-,9,7,1,-,-,-,1
"합계","강서구",부상자 (명),2208,1905,121,162,-,15,5,2491,2116,172,135,-,15,53,2131,1837,64,155,-,3,72,2042,1791,86,140,-,11,14,2108,1882,54,110,-,4,58,2112,1859,50,144,-,3,56
"합계","구로구",발생건수 (건),1532,1375,34,108,-,4,11,1529,1353,32,92,-,1,51,1325,1180,45,93,-,1,6,1350,1198,22,93,-,7,30,1274,1135,23,69,1,5,41,1359,1231,31,88,1,3,5
"합계","구로구",사망자 (명),13,12,-,1,-,-,-,13,12,-,1,-,-,-,10,9,1,-,-,-,-,9,9,-,-,-,-,-,12,11,-,1,-,-,-,5,5,-,-,-,-,-
"합계","구로구",부상자 (명),2129,1917,50,139,-,7,16,2096,1837,44,144,-,1,70,1810,1598,60,145,-,1,6,1729,1536,26,122,-,9,36,1691,1508,27,96,1,7,52,1840,1652,48,129,3,3,5
"합계","금천구",발생건수 (건),932,788,31,86,-,7,20,920,821,43,54,-,1,1,810,698,50,58,-,-,4,827,725,33,61,-,7,1,844,763,34,38,-,3,6,876,784,25,58,-,-,9
