시도,시군구,사고년도,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
시도,시군구,사고년도,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명
시도,시군구,사고년도,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명
서울,강동구,사고[건],1,24,1,30,545,375,63,250,0,129,0,5,1,0,590,434,72,216,0,96,2,11,1,0,641,362,51,148,0,52,0,14,0,1,528,305,31,92,0,76,1,10,6,1,591,270,57,163,0,52,0,12,2,1,496,294,52,169,0,159
서울,강동구,사망[명],0,0,0,2,7,2,0,1,0,0,0,0,0,0,4,6,1,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0
서울,강동구,부상[명],1,33,2,50,746,512,70,327,0,181,0,7,4,0,825,588,78,295,0,113,2,16,1,0,802,467,51,201,0,60,0,36,0,1,740,404,28,116,0,88,4,18,12,2,818,353,58,219,0,69,0,15,2,1,683,369,55,206,0,191
서울,송파구,사고[건],2,24,2,5,"1,411",662,119,478,0,157,1,16,3,1,"1,373",718,132,471,0,177,3,20,5,6,"1,174",706,119,414,0,148,4,14,8,8,"1,163",734,122,403,0,151,3,14,6,3,"1,245",661,110,423,0,116,3,13,8,4,"1,295",601,130,430,0,130
서울,송파구,사망[명],0,0,0,1,16,3,1,6,0,0,0,1,0,0,7,3,0,1,0,1,0,0,0,0,6,3,1,1,0,0,0,1,0,0,7,3,1,2,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,2,4,2,2,0,0
서울,송파구,부상[명],3,41,2,12,"1,929",972,131,663,0,179,1,39,3,2,"1,885","1,059",141,664,0,209,6,35,8,18,"1,565",978,132,594,0,173,5,20,13,13,"1,545","1,016",133,580,0,184,5,20,8,3,"1,750",943,129,594,0,142,8,18,11,9,"1,815",828,157,597,0,160
서울,서초구,사고[건],12,11,10,9,"1,333",433,55,335,0,280,13,8,21,105,"1,247",446,64,329,0,185,9,7,9,60,"1,212",404,53,325,0,171,11,9,21,9,"1,119",391,64,298,0,196,12,15,18,9,"1,075",385,64,351,0,335,8,7,14,8,"1,195",373,57,332,0,174
서울,서초구,사망[명],0,0,0,0,12,2,1,1,0,2,0,0,0,2,7,2,1,1,0,1,1,0,0,1,5,1,1,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,2,3,0,3,0,0,0,0,0,0,6,0,0,0,0,1
서울,서초구,부상[명],32,20,21,11,"1,976",631,58,498,0,393,26,20,44,127,"1,887",666,66,460,0,234,13,10,9,86,"1,701",535,60,428,0,233,17,24,36,13,"1,571",543,70,388,0,270,16,31,33,12,"1,670",573,68,488,0,500,10,10,34,16,"1,886",551,61,490,0,261
서울,중구,사고[건],22,0,1,13,647,203,42,166,0,34,9,0,0,50,649,230,44,180,0,22,8,0,0,44,457,214,39,163,0,30,5,0,0,25,417,173,24,144,0,66,10,0,0,36,474,179,29,145,0,70,3,0,0,47,469,145,24,165,0,78
서울,중구,사망[명],1,0,0,0,4,2,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0
서울,중구,부상[명],50,0,1,15,856,280,43,222,0,39,14,0,0,61,928,302,48,237,0,25,22,0,0,59,574,297,41,221,0,34,11,0,0,33,544,241,40,195,0,92,22,0,0,48,592,249,33,181,0,87,7,0,0,66,586,195,26,215,0,99
서울,양천구,사고[건],5,3,1,4,760,351,46,217,0,41,6,4,1,2,770,408,51,203,0,61,3,6,0,5,679,309,41,211,0,90,1,2,1,6,615,277,50,229,0,124,0,4,3,5,545,242,46,183,0,137,8,4,1,4,612,230,34,167,0,161
서울,양천구,사망[명],0,1,0,1,6,1,2,0,0,0,1,0,0,0,6,1,1,2,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,8,1,0,4,0,1,0,0,0,0,3,0,2,2,0,1,0,0,0,0,4,1,0,0,0,0
서울,양천구,부상[명],5,2,2,9,"1,071",466,45,292,0,47,11,6,2,4,"1,074",576,51,292,0,69,2,10,0,7,918,422,49,308,0,113,1,3,1,11,804,377,57,288,0,150,0,5,5,7,707,345,47,245,0,168,11,7,1,6,830,298,41,229,0,201
